,anime_id,name,type,rating,genre,episodes,creators,aired_year,awards_no,descript
10,23,Cowboy Bebop,TV Series,8.69,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",26,12,1998,0,"The year is 2071 AD. With the systematic collapse of the old nation-states, a mixed jumble of races and peoples were driven out of their terrestrial Eden and spread to the stars, taking with them the now confused concepts of justice, freedom, violence, and love. New rules were established, and a new generation of bounty hunters came into being. People referred to these bounty hunters as ""cowboys"".
Meet Spike Spiegel and Jet Black, a drifter and a retired cyborg cop who have started a bounty hunting partnership. In the converted ship The Bebop, Spike and Jet search the galaxy for criminals with bounties on their heads. They meet a lot of interesting characters, including the unusually intelligent dog Ein, the bizarre hacker child prodigy Ed, and the voluptuous and vexing femme fatale, Faye Valentine.Source: AnimeNfoNote: Originally aired on TV Tokyo, but after 12 episodes the show was cancelled due to the violence portrayed in the Cowboy Bebop world and violence in Japanese schools. The final and also the 13th episode on TV Tokyo was a compilation episode where the characters provide a philosophical commentary and end with the words: ""This Is Not The End. You Will See The Real ""Cowboy Bebop"" Someday!"" Four months later, WOWOW started to broadcast all 26 episodes of Cowboy Bebop. The ordering was different with completely new episodes mixed in between episodes previously broadcast on TV Tokyo, including a new episode 1.
	"
11,26,Juuni Kokuki,TV Series,8.55,"Action, Adventure, Fantasy, Magic, Supernatural",45,17,2002,2,"Nakajima Youko is class president and an honour student. At home, she is a good daughter, always obedient to her parents. She pleases everyone around her to the extent of ignoring herself due to her lack of confidence. She has nightmares daily and a unique hair colour that cause some friction at home and suspicion at school.
On a day like any other at school, a strange man named Keiki appears before her. He kneels and swears allegiance to her, promising to protect her and never leave her side. Thereafter they are pursued and attacked by demon-like beasts. In this mix enters two of her classmates who unfortunately happen to be at the wrong place at the wrong time. To escape the onslaught, Keiki transports them to his world. Unfortunately during the journey they are ambushed and end up separated from one another.
Now they have to learn how to survive in a new land, one with magic, swords, demon-like beasts and immortals.
This anime is based on text novels written by Ono Fuyumi. It features a complex fantasy world with a rich mythology behind it. The series tells us not only Nakajima Youko's story, but also stories about other people who came to live in this world.
	"
12,32,Hellsing,TV Series,7.76,"Action, Horror, Seinen, Supernatural, Vampire",13,14,2001,2,"Vampires exist. It is the duty of Hellsing, an organization backed by the British government, to hide this frightening fact and protect the blissfully unaware populace. Along with its own personal army, Hellsing also has a few secret weapons. Alucard, an incredibly powerful vampire, has been controlled by Hellsing for years. Although he dislikes being a servant to the Hellsing family, he certainly enjoys his job as Hellsing's vampire exterminator. Seras Victoria is a fledgling vampire and a former police woman. Although reluctant to embrace her new self, she is still a valuable member of the organization. Integra Hellsing, the current leader, is usually fully capable of fulfilling her duty, but lately, vampire activity has been on the rise. Unfortunately, the cause is more alarming than anything she could have imagined...
	"
13,34,Fruits Basket,TV Series,7.9,"Comedy, Drama, Fantasy, Romance, Shoujo, Slice of Life",26,17,2001,1,"After the death of her mother, young Honda Tooru has been secretly living on her own in a tent. Her life changes forever when she stumbles upon the secret of the Souma family, whose land she has been living on. The secret is a curse that changes some members of the family into animals of the Chinese Zodiac when they are hugged by someone of the opposite sex. Now, living with the Souma family, Tooru is in the middle of ancient conflicts between Zodiac rivals as she wears the burden of the Souma family secret. Despite this, the members of the Souma family find peace thanks to the presence of Tooru.
	"
14,35,Love Hina,TV Series,7.8,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",24,16,2000,1,"* Based on a manga by Akamatsu Ken, serialised in Weekly Shounen Magazine.Keitarou and his childhood sweetheart make a promise to be accepted at and to meet each other at the prestigious Tokyo University (Toudai) before she moved out of his life. About a decade later, Keitarou has become an artist and a daydreamer, having ranked 27th from the last in the national practice exam. When his grandmother leaves the all-girls dormitory, he becomes the residential manager and soon meets up with two Toudai applicants who may have been that sweetheart, since he has forgotten her name. And then there are the other tenants like young Shinobu who was in despair until Keitarou helped her, Motoko the swords master who sees men as evil distractions, Kaolla Su the genius child inventor and the sneaky Kitsune.
	"
15,36,Iketeru Futari,TV Series,7.02,"Comedy, Ecchi, Romance, School, Seinen",16,11,1999,0,"Saji Keisuke is a rather energetic young man who is quite smitten with the mysterious Koizumi Akira who appears to hate men. And then there is also Saji's well-endowed childhood friend Yuki who sees Akira as a rival. So what will become of this love-triangle?
	"
16,46,NieA Under 7,TV Series,7.04,"Comedy, Sci-Fi, Slice of Life",13,14,2000,0,"As a starving student, Mayuko's life consists of many part-time jobs, a small apartment over a bathhouse, and sleepless study nights. Unfortunately for her sanity, this hard life is complicated by NieA. NieA is a young 7th class under-alien who is living in Mayuko's closet, building flying saucers out of trash, eating Mayuko's food and being a bum. Compared to this stress, the man eating plants and the curry wars are nothing...
	"
17,50,Argento Soma,TV Series,7.03,"Action, Adventure, Drama, Mecha, Military, Sci-Fi",25,15,2000,0,"In 2054, mankind suddenly entered a war with a mysterious alien race which suddenly attacked Earth. The United Nations reorganized the army to oppose them and to defend the earth, and named it as ""The first encounter action"". In 2059, the invasion was still going on. A special unit called Funeral was set up to actively combat these aliens.
This anime centers around; Takuto Kaneshiro, a scientist who had his life ruined by one of the aliens, and Harriet Bartholomew, a innocent 13-year old girl with a strange link to a seemingly friendly Alien named EX-1 (aka Frank).Note: There are 25 episodes of Argento Soma aired on television. Episode 24.5 (Phase EX: Solitary) was released as a single OVA (on March 2002)
	"
18,53,Trigun,TV Series,8.23,"Action, Comedy, Sci-Fi",26,16,1998,0,"Vash the Stampede is a gunman on the run with a 60 billion double-dollar bounty on his head which has made it difficult for him to go anywhere without being chased and shot at. Every town he visits ends up being destroyed because of his pursuers, but miraculously no one ever gets killed.Meryl Stryfe and Milly Thompson are two insurance agents that have been sent to find Vash the Stampede and keep him under surveillance so no more damage is caused. Meryl, who leads the pair, refuses to believe that the man they have met can possibly be the legendary gunman. This spiky-haired, gangly, young man is extremely friendly, a pacifist, hates blood and suicide, absolutely loves doughnuts, and is a dork and a crybaby, a far cry from a notorious outlaw. But there is more to Vash and his past than meets the eye...
	"
19,60,Hand Maid May,TV Series,7.08,"Comedy, Ecchi, Harem, Romance, Sci-Fi",10,16,2000,0,"Saotome Kazuya, a student at the prestigious Osza no Mizu Industries University, was never good with girls. The cute girl who lives next door continually teases him, and he pays no mind. Instead, he is absorbed in his work, creating an octopus robot that uses advanced artificial intelligence. One day, his boisterous rival gives him a mysterious CD-ROM that contains a virus intended to destroy his computer and ruin his work. Instead the CD takes him to a website where he accidentally orders May â a 4-inch android girl designed to help out around the house.
	"
20,75,Tenshi na Konamaiki,TV Series,7.81,"Comedy, Magic, Romance, Shounen",50,13,2002,0,"Amatsuka Megumi, an attractive tomboy, actually used to be a boy Ã¢ÂÂ that was six years ago at the age of nine...
Back then Megumi encountered a magician near the river bank, initially intent on clobbering the old man with his toy sword, he ends up protecting him from several hoodlums, much to Hanakain Miki's dismay, who despises any form of fighting. The old man indulges Megumi's outright request for a reward, and gives him a mysterious, supposedly magic book. After getting into another fight, a drop of Megumi's blood spills on the strange book, accidentally summoning a small demon who offers to grant one wish. Without hesitation Megumi wishes for:""I want to be number one in the world. A real man! A man inside a man, please!""
The wish is instantly granted, but the demon misunderstands, instead of becoming more manly, Megumi is turned into a girl. The demon cannot undo the wish, though, pointing out that the wish will only last for ten years. Enraged Megumi throws the book and the demon into the river. From then on no one other than Miki remembers that Megumi was ever anything other than a girl. Megumi has been searching for the magic book and the old man ever since, in the hopes of changing back.
Now in high school, adored by every boy and admired by most girls in class, Megumi still has a hard time coping with his feminine side, much to Miki's exasperation, who has been trying to coach Megumi to become more lady-like. Megumi may well have to accept his fate of living in a woman's body... or does she?Ã¢ÂÂ written by foo2
	"
21,76,Juubee-chan: Lovely Gantai no Himitsu,TV Series,6.76,"Action, Adventure, Comedy, Drama, Shounen",13,16,1999,0,"Yagyu Jubei was Japan's greatest swordsman. His skill was legendary, but the one enemy he couldn't conquer was death. Before he died, though, he gave his disciple hope - there would be a successor, and this deserving person would receive all the power and skill of Yagyu Jubei, along with the Lovely Eyepatch.
After 300 years of searching, the disciple finds Nanohana Jiyuu, a rather ordinary girl who has just moved to a new town and started going to a new school. As if going to a new school weren't stressful enough, now Jiyu is told that she is heir to the legendary talents of Yagyu Jubei. And she will have to put those talents to good use and stop the assassins of the rival clan!
	"
22,84,Hikaru no Go,TV Series,8.39,"Comedy, Game, Shounen, Supernatural",75,20,2001,1,"Shindou Hikaru, a 6th grader, finds an old go table in the attic of his grandfather's house. He sees some blood stains on the go table, and tries to wipe it off... when a ghost dressed in Heian period clothes pops out, and takes over his body.
The ghost happens to be Fujiwara no Sai, a member of the court during the Heian period. Sai was one of the two men who was assigned as the go tutor to the emperor. The other tutor was envious of Sai, and challenged him to a go match - whoever wins gets to stay as the court's go master. Sai's opponent cheats during the match, and before Sai could say anything about it, the opponent accused Sai of cheating. Sai was banished from the court, and because of regret and anger, he committed suicide. But as with all unrepented souls, Sai was unable to leave the material world... until he is able to master go, and get one step closer to kami no itte, or god's hand.Source: AnimeNfo
	"
23,86,Samurai Deeper Kyou,TV Series,7.06,"Adventure, Comedy, Historical, Shounen, Supernatural",26,15,2002,0,"It is 1604, four years after the Battle of Sekigahara, perhaps Japan's greatest civil war. The people try to recover from its aftermath and enjoy the newly attained peace. Amid such times Shiina Yuuya, a roughneck girl who earns money by capturing outlaws, mistakes a roaming and peace-loving medicine seller Mibu Kyoushiro for the legendary wanted man ""Onime-no-Kyo."" But she soon realizes that she is wrong when she sees that Kyoushiro is just a weakling. Nevertheless, she ends up capturing Kyoushiro anyway -- he is wanted for running off without paying for a meal. As they travel together Kyoushiro tries to help Yuuya catch another wanted criminal. In the process Kyoushiro is cornered. Then he mumbles, ""Here he comes,"" and the color of his eyes turn a deep red. He pulls out his sword which he had never touched before and suddenly, Onime-no-Kyo, the legendary assassin said to have killed one thousand men with this sword, is standing there.
Kyoushiro and Kyou: Two spirits in one body. Yuuya is looking for a ""man with a wound on his back"" who killed her older brother. The two head to Edo together. One after another, samurai come after Onime-no-Kyo. Why do Kyoushiro and Kyou share the same body?
	"
24,88,Koutetsu Tenshi Kurumi,TV Series,6.88,"Adventure, Comedy, Drama, Historical, Mecha, Military, Romance, Shounen",24,10,1999,0,"In the Taishou Roman period, a Steel Angel is an android that has an Angel Heart created by powerful magic. In other words a Steel Angel is a creature of both science and magic.Kurumi is the first Steel Angel, and she is awakened when Nakahito kisses her. Nakahito is the second child of Onmyoudou Shuke (a house of a Japanese Yin and Yang spiritual leader). Kurumi has so much affection for him that she calls him ""my master"", and only follows his orders. Now, Nakahito, a boy with a gentle heart, and Kurumi, an android with an Angel Heart and incredible power, join forces. And when the second Steel Angel Saki, the third Steel Angel Karinka appear, things really start to mix up...Note: Taishou is the Japanese historical period dating from July 30 1912 to December 25 1926.
	"
25,91,Gate Keepers,TV Series,6.74,"Action, Comedy, Fantasy, Mecha, Sci-Fi, Shounen",24,15,2000,0,"It is Tokyo, 1969. Earth is under the attack of the Invaders. Fortunately, though, the public is unaware of this. But to the secret organization, A.E.G.I.S., the threat is very real, and it is up them to stop this invasion. One day on his route to high school, Ukiya Shun observes a battle between a young girl and a group of Invaders. He ends up helping her and discovers that much like the girl, he possesses the ability to generate a gate of special power that only a few other people are gifted with. As a result, Ukiya then joins A.E.G.I.S. in an effort to recruit other Gate Keepers in order to protect the city, all while doing his best not to imitate his late father, whom he despises.Source: ANN
	"
26,92,Shaman King,TV Series,7.41,"Action, Adventure, Comedy, Drama, Shounen, Supernatural",64,16,2001,0,"Shaman King is about a boy with a shaman power, Asakura Yoh, who wanted to become a king of shaman.
Asakura Yoh might look like a laid back Junior High School kid. However, he is a shaman with a special ability to communicate with all the souls and spirits and possess them into his body! Yoh came to Funbari, Tokyo to make friends with all of the powerful ghosts and to become the best Shaman ever.
	"
27,96,Witch Hunter Robin,TV Series,7.62,"Action, Drama, Magic, Mystery, Police, Supernatural",26,13,2002,2,"A couple of hundred years have passed and people hardly hear about witches nowadays. However, a leading secret organization in witch management still exists. Salomon's witch management organization, STN, is assigned the task of capturing the remaining witches. As a leading secret organization in witch management, STN's influence has reached the government and police organizations across the world.
As the recent change in Japanese society has led into an increase of witch activities, STN-J assembled a group of hunters to draw a desperate last-minute fight against witches. However, the mysterious death of one member of the group has led to a decrease in morale in STN-J.
In order to help STN-J, a lone 15 year old replacement girl is sent by Salomon directly to Tokyo. Robin Sena, a craft user- can she really be the key to win this fight?
	"
28,99,Serial Experiments Lain,TV Series,7.93,"Dementia, Drama, Mystery, Psychological, Sci-Fi, Supernatural",13,14,1998,0,"The first episode opens with the mysterious suicide of a junior high school girl, Chisa Yomoda. Chisa was a classmate of Lain Iwakura, a quiet, 14-year-old junior high school girl. One of the other girls in the class has been receiving e-mail messages from Chisa, and Lain discovers she also has mail from Chisa. In the mail she explains to Lain that she just abandoned her flesh. She assures Lain that she still is alive in the 'wired' world. After getting a new 'navi' and adding a 'psyche' circuit, Lain spends more and more time in the wired. It seems that Lain has at least 2 personalities, and Lain's first personality is changing even now. Who is Lain? Who are the 'knights'? Can the wired influence the real world with a prophecy? Is the real world nothing but a hologram of the information in the wired?
	"
29,100,Boys Be...,TV Series,6.85,"Comedy, Romance, Shounen, Slice of Life",13,12,2000,0,"Six High School students are about to embark on journey about love and life. Kyouichi and Chiharu have been childhood friends and suddenly their relationship is becoming more serious. Makoto believes that his computer can help acquire love. Yoshihiko is a talented baseball player, who is very unsure about himself. Chiharu's friends Yumi and Aki are looking for a solution to their loneliness. The coming events will teach them serious life lesson.
	"
30,101,Jikuu Tenshou Nazca,TV Series,5.71,"Action, Adventure, Drama, Fantasy, Magic",12,16,1998,0,"Nearly 500 years ago, a bloody civil war erupted within the Inca Empire. The losing side decided to unleash a mystical weapon of awesome power that almost destroys the entire Earth.
Now in present-day Japan, Miura Kyoji discovers that he is the reincarnated soul of an ancient Inca warrior. But Kyoji is not alone. His friend and teacher, Masanari Tate, is also a reincarnated Inca soul.
Tate decides to unleash this ancient weapon of total destruction once again. And so Kyoji must journey halfway around the world to discover the secret to his own past and fight against his closest friend, to save the world.Source: AnimeNfo
	"
